"","x"
"1",NA
"2",0.00054402013546126
"3",0.000538236138276949
"4",0.000536582991059741
"5",0.000403672010474542
"6",0.000523567351304525
"7",0.000518132688527136
"8",0.000511383234357727
"9",0.000504758570160871
"10",0.000498219007513208
"11",0.000506341136633661
"12",0.000374833066682236
"13",0.000482718591577411
"14",0.000407931701824502
"15",0.000468581055761445
"16",0.000480171759698899
"17",0.000475471964126644
"18",0.00046884664242808
"19",0.000405425810561759
"20",0.000459794855773098
"21",0.000465121315025283
"22",0.000475689449806544
"23",0.000475869034819933
"24",0.000478773935105375
"25",0.000472134407047406
"26",0.000466454486626817
"27",0.000462406678729915
"28",0.000466057769431243
"29",0.000461134623716832
"30",0.000457112569692075
"31",0.000500982127212212
"32",0.000458572398030586
"33",0.000452765589217635
"34",0.000447026018352781
"35",0.000408931301349374
"36",0.000442044561212936
"37",0.000436021533212173
"38",0.000445812101424552
"39",0.000439537797063951
"40",0.000439500126250178
"41",0.000454512810284964
"42",0.000462983819116601
"43",0.000469453306050059
"44",0.000466409121620112
"45",0.000459870939415993
"46",0.000456731128189479
"47",0.000463790364998851
"48",0.000467313329867022
"49",0.000462184179492319
"50",0.000457905949821595
"51",0.000453124231241513
"52",0.000451889722411614
"53",0.000448698258083547
"54",0.000447292582829192
"55",0.00044833571078851
"56",0.00044394823345044
"57",0.000439691047400609
"58",0.000435564742260452
"59",0.000430434997000188
"60",0.000425832859803183
"61",0.000420573635508803
"62",0.000427119565680069
"63",0.000426006845198946
"64",0.000419816137719106
"65",0.000421827795005694
"66",0.000425522245460948
"67",0.000460591190981536
"68",0.000473860193250868
"69",0.000468908448039562
"70",0.000470096597042672
"71",0.000465980187237398
"72",0.000472058820102719
"73",0.000474242940612522
"74",0.00047155581837222
"75",0.000474097743548428
"76",0.000470632862504084
"77",0.000473385829282644
"78",0.000471365602443217
"79",0.000465662974008843
"80",0.000468018738280381
"81",0.000464382115794631
"82",0.000462477992753636
"83",0.000463355221849053
"84",0.000473050985020477
"85",0.000467981038033382
"86",0.000467249838206548
"87",0.000487383489536291
"88",0.000502581163051526
"89",0.000514504964044117
"90",0.000516976374374944
"91",0.00053453584398043
"92",0.00053516266088363
"93",0.000555860209976426
"94",0.000550803740671214
"95",0.00054786125763438
"96",0.000540648374445222
"97",0.00054720394523432
"98",0.000934994232243469
"99",0.00129236945151001
"100",0.00143146927164652
"101",0.000976405200499971
"102",0.00145335286437561
"103",0.000882036416193438
"104",0.00090346278287703
"105",0.000973873549247703
"106",0.000663609852008338
"107",0.00145797805043854
"108",0.00108696574340531
"109",0.000765041392965521
"110",0.000596307396521013
"111",0.000759432395325442
"112",0.000608077659559251
"113",0.000607871467614371
"114",0.0012012488930475
"115",0.0011144546625578
"116",0.000965188637303573
"117",0.00122522360073102
"118",0.00093898718839165
"119",0.00095380213843087
"120",0.000880012576146748
"121",0.000724618000988796
"122",0.000599510919912463
"123",0.000645883142273926
"124",0.000573983835857171
"125",0.000579204642681849
"126",0.000563760633727032
"127",0.000493830695131664
"128",0.000632278730360678
"129",0.000627640845244526
"130",0.000647165361260685
"131",0.000627550620377881
"132",0.000552695619088464
"133",0.000763392862103417
"134",0.000647878842941525
"135",0.00109084187290988
"136",0.00081704338993442
"137",0.000834713725638292
"138",0.000776431681603189
"139",0.000768471206135055
"140",0.000723038649248316
"141",0.000738329829174322
"142",0.000600229136662996
